idCity , CityName , idCountry
1,Randallchester,1
2,North Damian,1
3,South Kandice,1
4,Edgardomouth,1
5,East Rebeca,1
6,North Madelainefort,1
7,Beahanhaven,1
8,Danchester,1
9,West Giselamouth,1
10,Watersborough,1
11,Auerport,2
12,Garretville,2
13,Nicholeborough,2
14,Masonview,2
15,North Martin,2
16,Conroyton,2
17,Kesslertown,2
18,Lake Trudystad,2
19,North Irvin,2
20,Trevorton,2
21,South Michale,3
22,Spencerchester,3
23,Mckinleyview,3
24,Fishermouth,3
25,Stiedemannborough,3
26,Howellshire,3
27,West Emeline,3
28,New Columbusville,3
29,Julianview,3
30,South Diego,3
31,Gusikowskiland,4
32,North Kareem,4
33,New Willy,4
34,Eldorachester,4
35,South Moses,4
36,West Sookshire,4
37,Tamathahaven,4
38,Normandside,4
39,North Tanner,4
40,Chunborough,4
41,Hettingerside,5
42,New Porter,5
43,Lake Hedwigside,5
44,Lake Dariotown,5
45,Rolfsonmouth,5
46,Torphaven,5
47,Lowebury,5
48,Port Mason,5
49,New Traceyside,5
50,New Morgantown,5
51,Lakinmouth,6
52,North Alphonse,6
53,Lake Clifford,6
54,Gracemouth,6
55,Rodgerstad,6
56,West Kit,6
57,Prohaskamouth,6
58,Columbuschester,6
59,Kutchchester,6
60,Port Marcellus,6
61,Nakeshaton,7
62,Archieberg,7
63,Murphybury,7
64,Leslieside,7
65,South Elliotfurt,7
66,Jillbury,7
67,New Erleneland,7
68,Port Thelma,7
69,New Darrinbury,7
70,Lyndonborough,7
71,Cartwrighthaven,8
72,Awildafurt,8
73,Zulauffort,8
74,Port Arlen,8
75,North Theresiashire,8
76,West Danmouth,8
77,Port Oliverland,8
78,East Mark,8
79,Port Charley,8
80,North Chiquita,8
81,Yongtown,9
82,Jacquelynnmouth,9
83,Blancaton,9
84,Rodriguezton,9
85,Tannaport,9
86,Gerardofurt,9
87,Armstrongmouth,9
88,Aleciamouth,9
89,West Shaunmouth,9
90,Lake Eddyton,9
91,Tremblayview,10
92,South Erlinda,10
93,Deanaside,10
94,Emilton,10
95,Port Earlport,10
96,Lake Jackibury,10
97,New Hugotown,10
98,Port Vincebury,10
99,Dwightland,10
100,Lake Catherine,10
101,Port Skyebury,11
102,Kaleighbury,11
103,New Angela,11
104,South Kariemouth,11
105,New Palmer,11
106,Sheenatown,11
107,VonRuedentown,11
108,West Calebshire,11
109,East Renatoborough,11
110,East Hazelburgh,11
111,Anyaton,12
112,Ronaldmouth,12
113,Kuhnville,12
114,Dewittton,12
115,Blandaview,12
116,Yajairafurt,12
117,Spinkafort,12
118,Johnsview,12
119,Bernardoton,12
120,Greenholtmouth,12
121,South Bobbyfort,13
122,Goodwinfort,13
123,Port Len,13
124,Schultzton,13
125,New Neil,13
126,South Jamison,13
127,Lake Phillisport,13
128,East Kennithhaven,13
129,Lake Asa,13
130,East Irma,13
131,North Dominiquemouth,14
132,Schmelerport,14
133,North Lynne,14
134,Leschshire,14
135,East Timmyborough,14
136,Jitown,14
137,West Jose,14
138,East Rodolfo,14
139,Veumborough,14
140,South Clementinahaven,14
141,Julishire,15
142,Kilbackton,15
143,Kreigerchester,15
144,South Earleview,15
145,Barrowsmouth,15
146,Wintheiserland,15
147,Lake Kendrick,15
148,South Francina,15
149,Danaborough,15
150,North Armand,15
151,Carmanchester,16
152,New Darnellmouth,16
153,East Leroy,16
154,North Cammiestad,16
155,Bodetown,16
156,Carolshire,16
157,New Robtburgh,16
158,Kingmouth,16
159,Schultzville,16
160,Lake Arthurburgh,16
161,Bradtketown,17
162,Kayleightown,17
163,Port Cleoraside,17
164,North Moniqueland,17
165,Schoenstad,17
166,West Otto,17
167,Lake Michel,17
168,Linwoodside,17
169,North Chanellborough,17
170,South Ty,17
171,New Leonardostad,18
172,North Margot,18
173,Parisianbury,18
174,Legrosport,18
175,Jacobshaven,18
176,Port Michal,18
177,New Rodrick,18
178,Boganside,18
179,Shondaside,18
180,Lake Wilbur,18
181,Uptonberg,19
182,Agripinaburgh,19
183,Lake Kendallfurt,19
184,East Tawna,19
185,Stanton,19
186,West Blake,19
187,Port Steve,19
188,Port Erin,19
189,Bechtelarmouth,19
190,South Newton,19
191,Laurenhaven,20
192,Hoppestad,20
193,South Edgardoport,20
194,Browntown,20
195,Jakubowskitown,20
196,Floranceburgh,20
197,North Marhtastad,20
198,Millsburgh,20
199,South Hilarychester,20
200,West Kayce,20
201,Hoegermouth,21
202,Louannfort,21
203,South Beatrismouth,21
204,New Kipfurt,21
205,South Pauletta,21
206,Schultzfort,21
207,North Elaynetown,21
208,Herbfort,21
209,Seasonburgh,21
210,Lake Norbertochester,21
211,New Mitchelton,22
212,East Jongfurt,22
213,Marishachester,22
214,Kerluketon,22
215,West Shizukomouth,22
216,Feeneyland,22
217,Port Man,22
218,West Oliviaborough,22
219,Cesarburgh,22
220,Brandenmouth,22
221,Ronaldtown,23
222,Bodehaven,23
223,North Paulettechester,23
224,Keiraport,23
225,New Derricktown,23
226,Teddyside,23
227,New Shanae,23
228,Jasthaven,23
229,Waylonside,23
230,New Rudolphburgh,23
231,East Andrew,24
232,South Tashia,24
233,New Margetburgh,24
234,East Christineville,24
235,Lingmouth,24
236,Rueckerton,24
237,North Porfirio,24
238,Mertzbury,24
239,Steffanieberg,24
240,West Marcusstad,24
241,New Frederick,25
242,New Vanitastad,25
243,Port Audrieburgh,25
244,Ritchieborough,25
245,Hicklebury,25
246,Hermistonbury,25
247,Port Arthurtown,25
248,Deborahburgh,25
249,New Rossanashire,25
250,Daphneberg,25
251,South Jerry,26
252,North Jacintoview,26
253,North Candelaria,26
254,East Obdulia,26
255,Port Patience,26
256,Port Paris,26
257,East Jerrystad,26
258,East Herta,26
259,Pourosborough,26
260,Boscoberg,26
261,North Natisha,27
262,Keelingshire,27
263,South Bennie,27
264,North Angeliafurt,27
265,West Carmella,27
266,Rolfsonland,27
267,Littletown,27
268,Jayhaven,27
269,North Yoshikoshire,27
270,Lake Reinaburgh,27
271,East Averychester,28
272,Brekkemouth,28
273,New Beryl,28
274,Nathanchester,28
275,North Luigi,28
276,Naderberg,28
277,Port Arielchester,28
278,South Roderickton,28
279,Jaimiehaven,28
280,Lake Nathanael,28
281,Aufderharville,29
282,Eugeniaville,29
283,Kizzymouth,29
284,Millardland,29
285,Rowemouth,29
286,Lashundamouth,29
287,Wilburborough,29
288,Johnnafort,29
289,Beattyville,29
290,Kayceefort,29
291,Rennertown,30
292,Rogahnchester,30
293,Jenkinsburgh,30
294,Port Everettland,30
295,South Retafort,30
296,Traceyhaven,30
297,Nolanmouth,30
298,South Denis,30
299,Howeshire,30
300,Theoside,30
301,Germanchester,31
302,Port Rendamouth,31
303,Cristyview,31
304,North Estefanamouth,31
305,McLaughlinside,31
306,Edmondside,31
307,Boganburgh,31
308,Lake Pabloville,31
309,West Cesartown,31
310,South Chere,31
311,New Deanport,32
312,Kingborough,32
313,Rosenbaumshire,32
314,Kassulkefurt,32
315,Annestad,32
316,Mooreburgh,32
317,Port Renayview,32
318,East Kennithhaven,32
319,Bartonbury,32
320,West Nick,32
321,South Jeanland,33
322,Riceborough,33
323,Anamariaborough,33
324,Wolffchester,33
325,Lake Shonton,33
326,Greenfeldershire,33
327,North Tifanymouth,33
328,Lewishaven,33
329,Hermannmouth,33
330,South Marine,33
331,Durganport,34
332,Seanton,34
333,Lake Angleaberg,34
334,Runteland,34
335,Maryjofurt,34
336,Hackettbury,34
337,Port Gail,34
338,Lake Janfort,34
339,New Melvin,34
340,Port Diego,34
341,Balistreriview,35
342,Port Lionel,35
343,South Olliehaven,35
344,North Ali,35
345,New Jenette,35
346,Lake Anthonytown,35
347,East Britneyton,35
348,East Shon,35
349,East Merry,35
350,New Debora,35
351,Bartonfort,36
352,Danielview,36
353,East Glynis,36
354,East Floydview,36
355,Annelieseside,36
356,East Lannyview,36
357,West Gilda,36
358,Erabury,36
359,Lake Kim,36
360,North Wilmer,36
361,South Jeaninebury,37
362,Galenborough,37
363,Lake Colby,37
364,Bartolettiberg,37
365,Ankundinghaven,37
366,South Manual,37
367,Port Cornelius,37
368,South Darby,37
369,Parisianfurt,37
370,New Dinorah,37
371,Creminfurt,38
372,Shirleybury,38
373,Dinahberg,38
374,North Sol,38
375,Lake Russell,38
376,New Deonstad,38
377,Cummingsport,38
378,Hangberg,38
379,Charlesbury,38
380,Mantetown,38
381,Angieview,39
382,East Bettychester,39
383,Caryfurt,39
384,West Leonieberg,39
385,New Petronila,39
386,Keeblermouth,39
387,South Francinestad,39
388,South Cherry,39
389,Lake Marcie,39
390,Lesliemouth,39
391,New Deshawnburgh,40
392,New Saraifurt,40
393,Cassinchester,40
394,West Kellyfurt,40
395,Stromanland,40
396,Krajcikport,40
397,Larrymouth,40
398,Temekafurt,40
399,North Johnieland,40
400,Sawaynstad,40
401,Lake Colletteborough,41
402,North Alyson,41
403,Port Damonborough,41
404,Lake Mitch,41
405,Muellerville,41
406,New Rooseveltborough,41
407,North Shontaville,41
408,Konopelskifort,41
409,Lake Odell,41
410,Christianstad,41
411,East Vernonport,42
412,South Cherri,42
413,New Princess,42
414,New Calvin,42
415,West Guadalupeville,42
416,Sethchester,42
417,Jcville,42
418,Rashadshire,42
419,Stromanbury,42
420,West Johnathan,42
421,Reneemouth,43
422,Margaretville,43
423,Rayborough,43
424,Jeniseland,43
425,Port Terranceport,43
426,Bruceside,43
427,South Harrismouth,43
428,South Tawanna,43
429,East Candance,43
430,West Federicoberg,43
431,Lake Jessialand,44
432,East Ronny,44
433,Quitzonside,44
434,Weimannton,44
435,Huelhaven,44
436,Erdmanchester,44
437,Blockstad,44
438,South Nancibury,44
439,South Stephanie,44
440,East Alecia,44
441,Lake Kelseymouth,45
442,Port Harriet,45
443,Bryanton,45
444,East Branden,45
445,North Robin,45
446,Lake Catheryn,45
447,West Mairestad,45
448,Rolfsonborough,45
449,New Jewel,45
450,Kertzmannmouth,45
451,Beattyshire,46
452,Lake Winfordland,46
453,New Tana,46
454,Paucekmouth,46
455,West Ernestinaview,46
456,Emmerichchester,46
457,Bergstromtown,46
458,North Dwain,46
459,South Garrett,46
460,Donnellmouth,46
461,Cristinland,47
462,Lake Quintin,47
463,North Nilda,47
464,East Frank,47
465,New Shayneberg,47
466,Ireneburgh,47
467,South Normandfurt,47
468,New Lanihaven,47
469,Angelikaview,47
470,Beerport,47
471,Mortonfort,48
472,Spinkaport,48
473,North Katerine,48
474,Haucktown,48
475,Port Eulaliaport,48
476,North Gertrudis,48
477,Dennybury,48
478,Adamston,48
479,New Mel,48
480,Lake Donovan,48
481,South Hobertfurt,49
482,Howellton,49
483,South Steffanie,49
484,South Rudolphfurt,49
485,Port Clairbury,49
486,Nelliehaven,49
487,South Juliehaven,49
488,Mertzstad,49
489,Johnsonside,49
490,Gibsonchester,49
491,Braunville,50
492,Vandervortport,50
493,North Rolandomouth,50
494,South Arlenside,50
495,Runtebury,50
496,Ziemannville,50
497,Wynellmouth,50
498,North Rociofurt,50
499,Benitotown,50
500,Willardberg,50
501,Port Sherlenetown,51
502,East Devonburgh,51
503,Lake Norene,51
504,Jeffreyton,51
505,South Nakishafort,51
506,South Willardborough,51
507,Lindbury,51
508,Flossietown,51
509,West Hildegardburgh,51
510,South Danetteland,51
511,West Jeremyfurt,52
512,New Billie,52
513,New Randallbury,52
514,South Lisandraberg,52
515,Typort,52
516,Windlerhaven,52
517,Lennahaven,52
518,North Kizzy,52
519,Bernettatown,52
520,Port Libby,52
521,Hilllport,53
522,Satterfieldshire,53
523,Lake Seth,53
524,South Tysonville,53
525,Adamburgh,53
526,North Hueychester,53
527,Port Reda,53
528,East Waltonland,53
529,Port Maryamburgh,53
530,Torphyland,53
531,Lake Debbiehaven,54
532,New Gabrielstad,54
533,New Rockyville,54
534,Alenaport,54
535,Lake Rolandmouth,54
536,Ronaldborough,54
537,West Chrishaven,54
538,Sorayaville,54
539,Auerland,54
540,Morissetteside,54
541,Reynoldsland,55
542,Wilfordmouth,55
543,South Marti,55
544,South Shelley,55
545,North Keilatown,55
546,South Nathanial,55
547,West Tanikaside,55
548,Cummeratastad,55
549,East Lacreshashire,55
550,West Rene,55
551,Port Cristopherport,56
552,Harrisside,56
553,South Portertown,56
554,South Cliftonfurt,56
555,New Bradlyfurt,56
556,Joeyborough,56
557,Tamikochester,56
558,North Carlotaside,56
559,Lake Brendanburgh,56
560,Dorothaville,56
561,Lake Janessamouth,57
562,Zboncakton,57
563,New Romelia,57
564,Port Leroy,57
565,East Ressieton,57
566,Krisport,57
567,Leanaton,57
568,New Gayletown,57
569,Groverhaven,57
570,Lamarhaven,57
571,Krisfort,58
572,East Tish,58
573,North Gaston,58
574,New Eddytown,58
575,Deckowburgh,58
576,North Krissy,58
577,North Hiltonchester,58
578,Norrismouth,58
579,Aidaborough,58
580,Okunevamouth,58
581,North Ronnyborough,59
582,Schowaltertown,59
583,Joshualand,59
584,New Monika,59
585,North Palmerberg,59
586,Trentville,59
587,South Martin,59
588,Ronaldview,59
589,Leviview,59
590,New Tammara,59
591,Hahnmouth,60
592,Heathcoteville,60
593,South Tylerton,60
594,Rosiefort,60
595,East Carey,60
596,Inaburgh,60
597,East Alphonsobury,60
598,East Shayburgh,60
599,East Santiago,60
600,East Mika,60
601,New Dagny,61
602,North Carlee,61
603,West Bennettchester,61
604,New Goldie,61
605,Karryborough,61
606,East Xiomara,61
607,Jordanbury,61
608,West Rubi,61
609,Kreigerview,61
610,East Gwendolynland,61
611,South Stanton,62
612,Kuhnland,62
613,Jimmyfurt,62
614,Wilkinsonville,62
615,Mariaborough,62
616,South Cyndishire,62
617,North Calvin,62
618,Clintonland,62
619,Andersonville,62
620,North Jamieville,62
621,West Carlo,63
622,New Estebanbury,63
623,Macejkovicburgh,63
624,Hicklestad,63
625,Port Alphonsechester,63
626,New Venessaborough,63
627,West Contessamouth,63
628,West Manual,63
629,Luigiview,63
630,East Vivachester,63
631,North Esperanza,64
632,North Burthaven,64
633,New Chinghaven,64
634,East Betsey,64
635,Port Feltonstad,64
636,Marlynmouth,64
637,South Federicoview,64
638,Port Keshafurt,64
639,Agustinbury,64
640,Port Danyelfurt,64
641,North Suellenville,65
642,West Omarton,65
643,New Alisa,65
644,Lebsackborough,65
645,Kovacekview,65
646,West Jasper,65
647,South Peggy,65
648,Pfefferberg,65
649,Maudfort,65
650,South Zulemabury,65
651,Loweside,66
652,New Karlaburgh,66
653,Lake Odessa,66
654,Alanbury,66
655,South Bertstad,66
656,Carrolland,66
657,Leandroport,66
658,Lake Nathaniel,66
659,Lake Galentown,66
660,Port Ikeburgh,66
661,South Kasi,67
662,Joannaland,67
663,Lake Jeramy,67
664,Port Melvin,67
665,North Perla,67
666,Donnellyside,67
667,West Numbersland,67
668,Beckerberg,67
669,Nienowchester,67
670,Millyburgh,67
671,Mohrbury,68
672,Hackettshire,68
673,Auerbury,68
674,New Elden,68
675,East Eryn,68
676,Farrellport,68
677,West Lenard,68
678,North Gennyhaven,68
679,Tobychester,68
680,Liviabury,68
681,West Shanae,69
682,Williamsonberg,69
683,West Laurenefurt,69
684,Asleyland,69
685,Port Theo,69
686,West Albert,69
687,Littleton,69
688,Graycechester,69
689,Pollichview,69
690,New Ambroseside,69
691,Sukberg,70
692,New Neva,70
693,Hodkiewiczburgh,70
694,Gaylordville,70
695,New Margueritabury,70
696,Taiburgh,70
697,Port Gaylord,70
698,Maynardfort,70
699,Palmiraton,70
700,West Trenttown,70
701,New Synthia,71
702,Port Andreas,71
703,Richburgh,71
704,Andretown,71
705,Port Thadland,71
706,Napoleonmouth,71
707,North Ernest,71
708,Lake Ignacioborough,71
709,Schulistview,71
710,Cartwrightfort,71
711,Alinaport,72
712,Julesmouth,72
713,Gulgowskiborough,72
714,Floridaville,72
715,South Albertberg,72
716,Paulettaberg,72
717,Port Ron,72
718,East Reidtown,72
719,New Rickport,72
720,Rosenafurt,72
721,North Ellis,73
722,West Kayleenview,73
723,Phungmouth,73
724,New Porfiriofurt,73
725,Rutherfordstad,73
726,Weissnatberg,73
727,Schulistborough,73
728,North Merrilltown,73
729,North Quentin,73
730,Macejkovictown,73
731,South Claud,74
732,Darrenstad,74
733,Carolynnborough,74
734,South Hienview,74
735,North Fredrickchester,74
736,Caseystad,74
737,New Nicolle,74
738,Pricebury,74
739,Bradtkefurt,74
740,Terryfort,74
741,New Crissy,75
742,Janeyborough,75
743,East Rogershire,75
744,West Humbertoview,75
745,West Rashad,75
746,Leonieburgh,75
747,Darioton,75
748,South Hansview,75
749,Dulcietown,75
750,Rodgerhaven,75
751,New Arceliaville,76
752,Port Boydside,76
753,Kylemouth,76
754,Kundestad,76
755,Shauntown,76
756,Shanonchester,76
757,Barryberg,76
758,Oteliafurt,76
759,West Kimberg,76
760,Veumview,76
761,Schmelerbury,77
762,Lake Xiomaraborough,77
763,West James,77
764,Jaeport,77
765,Treutelchester,77
766,Palmiraborough,77
767,Lake Hugh,77
768,Lake Tomoko,77
769,Conroystad,77
770,West Stefanihaven,77
771,South Olin,78
772,Ceceliaborough,78
773,New Melonieside,78
774,Port Julio,78
775,North Lizeth,78
776,South Renataside,78
777,New Rafaelburgh,78
778,Alysiaburgh,78
779,Lake Jospehborough,78
780,Christophermouth,78
781,Auerland,79
782,West Sanjuanitafort,79
783,Toyton,79
784,Osinskimouth,79
785,Terrellland,79
786,West Carolin,79
787,West Leoniaview,79
788,Kunzeview,79
789,Lake Joanefurt,79
790,Mertzstad,79
791,West Melissia,80
792,East Jon,80
793,Danielchester,80
794,Christianabury,80
795,North Nathanial,80
796,Welchside,80
797,West Eleanora,80
798,Stephanton,80
799,Schultzchester,80
800,Hahnfort,80
