idParticiper , idTeam , idCompetition
1,1313,67
2,499,30
3,997,23
4,1017,72
5,1089,25
6,1581,32
7,647,16
8,1288,37
9,1053,60
10,280,22
11,141,23
12,808,38
13,633,71
14,1022,31
15,1516,52
16,957,16
17,587,64
18,107,53
19,1386,8
20,1421,1
21,443,38
22,559,27
23,673,47
24,128,50
25,98,64
26,345,77
27,187,0
28,990,20
29,334,49
30,765,69
31,183,73
32,84,20
33,1084,72
34,111,2
35,482,21
36,1582,56
37,988,25
38,1029,32
39,1055,23
40,1502,64
41,1233,7
42,921,37
43,31,46
44,1523,56
45,942,76
46,1348,15
47,937,1
48,866,50
49,1273,60
50,1124,8
51,211,66
52,1089,15
53,746,8
54,1046,52
55,774,45
56,1222,68
57,1517,54
58,1019,32
59,637,71
60,1355,38
61,91,43
62,1399,34
63,1478,1
64,781,65
65,1221,67
66,1325,77
67,191,67
68,424,74
69,873,21
70,1028,27
71,921,19
72,860,34
73,826,33
74,548,35
75,24,30
76,715,3
77,1243,35
78,953,18
79,1169,75
80,1208,34
81,952,1
82,937,64
83,1180,41
84,1312,61
85,907,62
86,1204,79
87,782,36
88,1008,26
89,1192,67
90,1449,55
91,608,63
92,346,0
93,813,3
94,544,58
95,1598,23
96,14,3
97,1379,0
98,1518,49
99,475,70
100,213,26
101,250,1
102,482,17
103,823,60
104,915,30
105,336,28
106,451,7
107,410,10
108,452,10
109,169,28
110,469,13
111,215,34
112,256,60
113,949,75
114,1107,65
115,972,72
116,1400,50
117,1422,40
118,1459,52
119,798,19
120,376,14
121,697,35
122,1511,24
123,639,28
124,1509,2
125,1058,75
126,1368,33
127,1194,76
128,830,4
129,1186,54
130,1003,21
131,1378,2
132,285,27
133,1530,25
134,61,43
135,1208,75
136,309,31
137,1559,75
138,1064,63
139,1348,71
140,274,60
141,14,70
142,1470,28
143,1513,11
144,1246,31
145,1182,6
146,1290,16
147,211,57
148,1112,55
149,1330,39
150,1300,27
151,1593,56
152,604,53
153,1246,42
154,1371,79
155,733,66
156,480,75
157,607,48
158,474,65
159,1416,48
160,1458,32
161,1414,28
162,1172,53
163,858,33
164,1202,76
165,1286,29
166,363,27
167,270,49
168,1201,5
169,904,64
170,1322,61
171,1259,38
172,529,68
173,1023,37
174,699,32
175,948,46
176,1460,69
177,719,57
178,1416,66
179,383,32
180,925,27
181,718,14
182,1213,63
183,371,31
184,1586,21
185,1348,52
186,138,56
187,1480,55
188,1018,60
189,1194,5
190,1375,27
191,714,60
192,799,49
193,942,2
194,238,16
195,1302,15
196,1389,1
197,429,41
198,301,40
199,1371,10
200,913,34
201,119,0
202,1552,78
203,858,33
204,1178,53
205,591,8
206,146,55
207,550,32
208,698,68
209,744,12
210,45,51
211,164,17
212,453,18
213,296,33
214,220,27
215,1356,69
216,112,0
217,1384,22
218,1056,35
219,741,40
220,915,36
221,1521,3
222,184,7
223,780,63
224,1447,1
225,128,11
226,38,79
227,557,74
228,1096,3
229,258,59
230,625,44
231,456,52
232,756,49
233,920,74
234,1117,42
235,749,16
236,1418,28
237,532,73
238,628,30
239,0,43
240,1164,28
241,435,65
242,428,25
243,1315,10
244,363,70
245,424,28
246,1024,51
247,839,8
248,672,56
249,394,18
250,953,12
251,910,48
252,1160,8
253,43,65
254,727,71
255,827,74
256,151,73
257,969,28
258,981,55
259,536,49
260,476,48
261,461,53
262,1512,18
263,506,33
264,1538,53
265,199,2
266,317,17
267,703,56
268,1227,79
269,1524,75
270,1340,77
271,1424,72
272,725,59
273,1594,25
274,1289,67
275,33,3
276,599,6
277,360,57
278,1087,16
279,814,14
280,1506,13
281,377,55
282,309,6
283,574,46
284,993,68
285,1423,19
286,123,5
287,545,13
288,1243,11
289,761,78
290,923,18
291,691,37
292,1326,10
293,623,61
294,986,34
295,88,3
296,1491,38
297,722,37
298,1590,47
299,1536,37
300,1054,41
301,111,29
302,1383,18
303,226,28
304,893,61
305,1594,78
306,991,22
307,834,74
308,886,49
309,1301,5
310,1164,27
311,1580,69
312,427,66
313,1480,48
314,1555,49
315,1016,50
316,470,35
317,1480,76
318,1300,40
319,1478,74
320,847,53
321,267,51
322,1134,36
323,713,78
324,48,72
325,246,54
326,814,49
327,291,23
328,729,18
329,1535,75
330,1541,65
331,848,59
332,57,55
333,656,50
334,1558,67
335,1442,45
336,1378,46
337,1391,63
338,943,73
339,1506,1
340,428,66
341,1340,71
342,648,70
343,404,13
344,1214,16
345,47,64
346,1218,16
347,440,57
348,262,7
349,604,68
350,1513,46
351,324,63
352,509,22
353,1456,62
354,947,25
355,109,75
356,549,32
357,690,26
358,768,31
359,221,59
360,1420,11
361,1221,57
362,858,59
363,1083,63
364,457,12
365,290,74
366,1332,30
367,1576,58
368,1275,76
369,864,18
370,173,57
371,766,78
372,719,6
373,110,36
374,396,64
375,273,36
376,632,38
377,533,9
378,1282,56
379,1135,17
380,310,26
381,1400,9
382,877,40
383,161,2
384,1170,36
385,84,16
386,849,27
387,233,64
388,541,70
389,1154,9
390,1118,29
391,1348,28
392,1014,37
393,690,38
394,431,25
395,1319,52
396,963,54
397,752,53
398,1158,17
399,452,27
400,1588,4
401,775,43
402,438,51
403,1565,18
404,839,32
405,1214,7
406,1404,3
407,1568,54
408,370,68
409,169,39
410,199,36
411,719,28
412,198,65
413,286,54
414,1594,72
415,1432,20
416,931,57
417,566,42
418,71,0
419,333,42
420,607,69
421,1228,1
422,498,1
423,33,0
424,1536,43
425,444,21
426,1300,14
427,1452,22
428,1597,41
429,485,42
430,1046,4
431,1058,52
432,960,73
433,935,76
434,817,54
435,416,28
436,1254,14
437,485,52
438,1140,6
439,927,58
440,1212,19
441,1284,34
442,893,30
443,318,69
444,1028,64
445,1577,65
446,958,32
447,59,29
448,1454,6
449,1151,39
450,377,27
451,186,44
452,735,79
453,1390,20
454,452,7
455,380,55
456,300,49
457,228,32
458,1414,69
459,553,44
460,735,74
461,976,31
462,823,65
463,1094,4
464,305,34
465,801,30
466,1443,50
467,1599,47
468,462,46
469,1227,36
470,423,38
471,286,60
472,1172,24
473,705,4
474,1074,8
475,721,48
476,339,10
477,1211,55
478,5,12
479,615,27
480,1357,2
481,1558,9
482,274,28
483,522,52
484,1196,54
485,1187,38
486,220,45
487,134,54
488,1561,8
489,37,24
490,811,73
491,653,20
492,1162,59
493,1307,54
494,805,74
495,911,17
496,1022,46
497,248,64
498,1394,54
499,1487,27
500,598,29
501,672,34
502,893,12
503,1251,41
504,663,76
505,41,64
506,756,21
507,306,62
508,934,56
509,603,42
510,1219,70
511,436,21
512,585,43
513,1328,71
514,285,75
515,630,20
516,1452,71
517,1172,43
518,1010,59
519,1171,27
520,665,39
521,1317,18
522,441,40
523,635,20
524,638,19
525,307,20
526,103,29
527,111,34
528,1195,26
529,513,17
530,1398,48
531,706,68
532,337,7
533,770,20
534,1311,47
535,857,0
536,963,78
537,28,18
538,1247,4
539,1387,58
540,696,61
541,424,25
542,245,3
543,834,76
544,1030,13
545,687,3
546,994,25
547,632,61
548,1064,1
549,1006,2
550,999,28
551,1530,13
552,249,36
553,914,35
554,330,15
555,1224,20
556,1398,44
557,1084,13
558,785,76
559,754,24
560,256,27
561,1466,1
562,404,75
563,311,20
564,224,48
565,848,31
566,97,70
567,34,32
568,546,9
569,262,24
570,1244,26
571,1279,68
572,441,4
573,139,40
574,1012,61
575,1308,71
576,1180,75
577,33,49
578,694,0
579,637,24
580,1154,67
581,1241,17
582,1046,12
583,725,68
584,1063,76
585,857,64
586,1511,39
587,202,31
588,1288,63
589,1241,64
590,1118,30
591,53,7
592,674,0
593,32,29
594,722,74
595,1247,53
596,1142,11
597,1163,77
598,254,13
599,517,61
600,1480,72
601,1287,79
602,1341,52
603,1493,26
604,283,8
605,401,29
606,781,20
607,1070,69
608,630,55
609,189,43
610,1100,46
611,1187,13
612,1505,58
613,940,7
614,446,12
615,184,78
616,168,0
617,1235,73
618,1220,19
619,419,44
620,150,51
621,890,50
622,165,2
623,1484,6
624,699,69
625,1146,62
626,1096,63
627,76,21
628,1382,69
629,1086,20
630,1464,14
631,1137,28
632,491,41
633,1026,66
634,30,59
635,120,7
636,670,19
637,279,19
638,1162,60
639,1425,46
640,918,15
641,714,28
642,726,20
643,1222,38
644,1190,31
645,855,31
646,979,53
647,231,52
648,1437,65
649,165,63
650,241,11
651,1563,73
652,394,59
653,1375,25
654,1524,73
655,1251,14
656,1195,67
657,296,4
658,867,10
659,1487,71
660,225,41
661,1360,49
662,454,18
663,3,65
664,1068,71
665,1372,43
666,1001,66
667,180,5
668,305,34
669,322,21
670,1560,66
671,936,5
672,1204,8
673,746,0
674,1568,71
675,57,76
676,798,65
677,494,4
678,1492,44
679,18,0
680,1207,15
681,346,35
682,517,74
683,432,49
684,1132,48
685,172,75
686,1160,18
687,929,25
688,1098,56
689,404,34
690,628,46
691,520,43
692,0,26
693,1141,74
694,672,54
695,1366,69
696,97,30
697,673,28
698,553,23
699,1234,48
700,671,41
701,289,62
702,937,59
703,210,28
704,912,42
705,235,15
706,513,5
707,1087,7
708,365,56
709,1321,39
710,1103,67
711,725,52
712,845,55
713,1144,42
714,1016,76
715,1375,6
716,238,18
717,421,3
718,799,66
719,1023,20
720,300,47
721,651,38
722,848,34
723,1294,16
724,0,50
725,251,58
726,1495,74
727,1034,59
728,238,37
729,318,73
730,266,66
731,1063,67
732,1573,40
733,641,29
734,807,23
735,1402,72
736,1332,70
737,209,77
738,543,15
739,154,54
740,1468,19
741,222,74
742,1554,43
743,1375,67
744,1327,60
745,120,30
746,342,22
747,1507,14
748,916,73
749,469,60
750,625,5
751,1284,47
752,1,29
753,840,21
754,154,22
755,479,27
756,1375,33
757,75,63
758,59,67
759,86,63
760,1002,62
761,246,61
762,1457,62
763,779,34
764,942,18
765,324,76
766,522,4
767,418,5
768,10,39
769,661,1
770,1157,76
771,514,68
772,1392,49
773,1446,29
774,853,7
775,1044,51
776,1314,62
777,1306,59
778,350,15
779,1282,3
780,1014,53
781,1588,78
782,1270,41
783,1401,76
784,979,57
785,346,53
786,613,37
787,871,51
788,1010,6
789,1491,9
790,36,26
791,188,67
792,349,48
793,649,11
794,1505,60
795,557,37
796,178,40
797,1160,40
798,633,72
799,620,26
800,224,56
801,940,40
802,741,56
803,1304,17
804,1253,70
805,1402,56
806,548,17
807,717,21
808,919,21
809,771,71
810,1199,6
811,1595,50
812,746,6
813,736,68
814,502,51
815,1501,54
816,317,45
817,128,30
818,1554,21
819,1002,1
820,1590,65
821,48,37
822,518,13
823,82,4
824,901,75
825,1238,60
826,1026,59
827,896,20
828,486,69
829,751,25
830,1116,3
831,1303,39
832,1501,12
833,982,35
834,791,43
835,1397,53
836,1017,46
837,318,51
838,669,26
839,373,8
840,1555,60
841,1524,67
842,454,42
843,294,76
844,590,72
845,1248,49
846,1105,55
847,23,15
848,1238,24
849,130,60
850,1448,62
