idSeason , datedebut , datefin
1,1944,1945
2,1946,1947
3,1948,1949
4,1950,1951
5,1952,1953
6,1954,1955
7,1956,1957
8,1958,1959
9,1960,1961
10,1962,1963
11,1964,1965
12,1966,1967
13,1968,1969
14,1970,1971
15,1972,1973
16,1974,1975
17,1976,1977
18,1978,1979
19,1980,1981
20,1982,1983
21,1984,1985
22,1986,1987
23,1988,1989
24,1990,1991
25,1992,1993
26,1994,1995
27,1996,1997
28,1998,1999
29,2000,2001
30,2002,2003
31,2004,2005
32,2006,2007
33,2008,2009
34,2010,2011
35,2012,2013
36,2014,2015
37,2016,2017
38,2018,2019
39,2020,2021
40,2022,2023
41,2024,2025
42,2026,2027
43,2028,2029
44,2030,2031
45,2032,2033
46,2034,2035
47,2036,2037
48,2038,2039
49,2040,2041
50,2042,2043
51,2044,2045
52,2046,2047
53,2048,2049
54,2050,2051
55,2052,2053
56,2054,2055
57,2056,2057
58,2058,2059
59,2060,2061
60,2062,2063
61,2064,2065
62,2066,2067
63,2068,2069
64,2070,2071
65,2072,2073
66,2074,2075
67,2076,2077
68,2078,2079
69,2080,2081
70,2082,2083
71,2084,2085
72,2086,2087
73,2088,2089
74,2090,2091
75,2092,2093
76,2094,2095
77,2096,2097
78,2098,2099
79,2100,2101
80,2102,2103
