TeamID,TeamName,Country,Coach
1,Ohio penguins,Lebanon,Dede Ryan
2,West Virginia dragons,Senegal,Ms. Ariel Bradtke
3,Colorado gooses,United Kingdom,Bob Doyle
4,Maryland monkeys,Dominican Republic,Ms. Tonette Waters
5,Arizona bears,Haiti,Pat Jenkins
6,Nevada penguins,Philippines,Lajuana Heidenreich
7,Ohio warlocks,Antarctica (the territory South of 60 deg S),Beverley Koepp
8,South Carolina people,Barbados,Toi Ryan
9,New Mexico frogs,Bosnia and Herzegovina,Ms. Perla Hickle
10,Montana nemesis,Jersey,Patrick Cremin PhD
